"","date","probe_name","probe_type","value"
"457","07/01/2021 09:30:00","B2_T2","Temp",25.1
"458","07/01/2021 09:30:00","B2_pH2","pH",4.48
"459","07/01/2021 09:30:00","B1_pH2","pH",8.13
"460","07/01/2021 09:30:00","B1_T2","Temp",16.6
"461","07/01/2021 09:30:00","B1_T1","Temp",16.6
"462","07/01/2021 09:30:00","B1_pH1","pH",8.13
"463","07/01/2021 09:30:00","B2T1","Temp",18.6
"464","07/01/2021 09:30:00","B2pH1","pH",7.98
"465","07/01/2021 09:40:00","B2_T2","Temp",24.6
"466","07/01/2021 09:40:00","B2_pH2","pH",4.48
